code,level,parent_code,full_name,display_name
1100000000,1,,서울특별시,서울특별시
1111000000,2,1100000000,서울특별시 종로구,종로구
1111010100,3,1111000000,서울특별시 종로구 청운동,청운동
1111010200,3,1111000000,서울특별시 종로구 신교동,신교동
1111010300,3,1111000000,서울특별시 종로구 궁정동,궁정동
1111010400,3,1111000000,서울특별시 종로구 효자동,효자동
1111010500,3,1111000000,서울특별시 종로구 창성동,창성동
1111010600,3,1111000000,서울특별시 종로구 통의동,통의동
1111010700,3,1111000000,서울특별시 종로구 적선동,적선동
1111010800,3,1111000000,서울특별시 종로구 통인동,통인동
1111010900,3,1111000000,서울특별시 종로구 누상동,누상동
1111011000,3,1111000000,서울특별시 종로구 누하동,누하동
1111011100,3,1111000000,서울특별시 종로구 옥인동,옥인동
1111011200,3,1111000000,서울특별시 종로구 체부동,체부동
1111011300,3,1111000000,서울특별시 종로구 필운동,필운동
1111011400,3,1111000000,서울특별시 종로구 내자동,내자동
1111011500,3,1111000000,서울특별시 종로구 사직동,사직동
1111011600,3,1111000000,서울특별시 종로구 도렴동,도렴동
1111011700,3,1111000000,서울특별시 종로구 당주동,당주동
1111011800,3,1111000000,서울특별시 종로구 내수동,내수동
1111011900,3,1111000000,서울특별시 종로구 세종로,세종로
1111012000,3,1111000000,서울특별시 종로구 신문로1가,신문로1가
1111012100,3,1111000000,서울특별시 종로구 신문로2가,신문로2가
1111012200,3,1111000000,서울특별시 종로구 청진동,청진동
1111012300,3,1111000000,서울특별시 종로구 서린동,서린동
1111012400,3,1111000000,서울특별시 종로구 수송동,수송동
1111012500,3,1111000000,서울특별시 종로구 중학동,중학동
1111012600,3,1111000000,서울특별시 종로구 종로1가,종로1가
1111012700,3,1111000000,서울특별시 종로구 공평동,공평동
1111012800,3,1111000000,서울특별시 종로구 관훈동,관훈동
1111012900,3,1111000000,서울특별시 종로구 견지동,견지동
1111013000,3,1111000000,서울특별시 종로구 와룡동,와룡동
1111013100,3,1111000000,서울특별시 종로구 권농동,권농동
1111013200,3,1111000000,서울특별시 종로구 운니동,운니동
1111013300,3,1111000000,서울특별시 종로구 익선동,익선동
1111013400,3,1111000000,서울특별시 종로구 경운동,경운동
1111013500,3,1111000000,서울특별시 종로구 관철동,관철동
1111013600,3,1111000000,서울특별시 종로구 인사동,인사동
1111013700,3,1111000000,서울특별시 종로구 낙원동,낙원동
1111013800,3,1111000000,서울특별시 종로구 종로2가,종로2가
1111013900,3,1111000000,서울특별시 종로구 팔판동,팔판동
1111014000,3,1111000000,서울특별시 종로구 삼청동,삼청동
1111014100,3,1111000000,서울특별시 종로구 안국동,안국동
1111014200,3,1111000000,서울특별시 종로구 소격동,소격동
1111014300,3,1111000000,서울특별시 종로구 화동,화동
1111014400,3,1111000000,서울특별시 종로구 사간동,사간동
1111014500,3,1111000000,서울특별시 종로구 송현동,송현동
1111014600,3,1111000000,서울특별시 종로구 가회동,가회동
1111014700,3,1111000000,서울특별시 종로구 재동,재동
1111014800,3,1111000000,서울특별시 종로구 계동,계동
1111014900,3,1111000000,서울특별시 종로구 원서동,원서동
1111015000,3,1111000000,서울특별시 종로구 훈정동,훈정동
1111015100,3,1111000000,서울특별시 종로구 묘동,묘동
1111015200,3,1111000000,서울특별시 종로구 봉익동,봉익동
1111015300,3,1111000000,서울특별시 종로구 돈의동,돈의동
1111015400,3,1111000000,서울특별시 종로구 장사동,장사동
1111015500,3,1111000000,서울특별시 종로구 관수동,관수동
1111015600,3,1111000000,서울특별시 종로구 종로3가,종로3가
1111015700,3,1111000000,서울특별시 종로구 인의동,인의동
1111015800,3,1111000000,서울특별시 종로구 예지동,예지동
1111015900,3,1111000000,서울특별시 종로구 원남동,원남동
1111016000,3,1111000000,서울특별시 종로구 연지동,연지동
1111016100,3,1111000000,서울특별시 종로구 종로4가,종로4가
1111016200,3,1111000000,서울특별시 종로구 효제동,효제동
1111016300,3,1111000000,서울특별시 종로구 종로5가,종로5가
1111016400,3,1111000000,서울특별시 종로구 종로6가,종로6가
1111016500,3,1111000000,서울특별시 종로구 이화동,이화동
1111016600,3,1111000000,서울특별시 종로구 연건동,연건동
1111016700,3,1111000000,서울특별시 종로구 충신동,충신동
1111016800,3,1111000000,서울특별시 종로구 동숭동,동숭동
1111016900,3,1111000000,서울특별시 종로구 혜화동,혜화동
1111017000,3,1111000000,서울특별시 종로구 명륜1가,명륜1가
1111017100,3,1111000000,서울특별시 종로구 명륜2가,명륜2가
1111017200,3,1111000000,서울특별시 종로구 명륜4가,명륜4가
1111017300,3,1111000000,서울특별시 종로구 명륜3가,명륜3가
1111017400,3,1111000000,서울특별시 종로구 창신동,창신동
1111017500,3,1111000000,서울특별시 종로구 숭인동,숭인동
1111017600,3,1111000000,서울특별시 종로구 교남동,교남동
1111017700,3,1111000000,서울특별시 종로구 평동,평동
1111017800,3,1111000000,서울특별시 종로구 송월동,송월동
1111017900,3,1111000000,서울특별시 종로구 홍파동,홍파동
1111018000,3,1111000000,서울특별시 종로구 교북동,교북동
1111018100,3,1111000000,서울특별시 종로구 행촌동,행촌동
1111018200,3,1111000000,서울특별시 종로구 구기동,구기동
1111018300,3,1111000000,서울특별시 종로구 평창동,평창동
1111018400,3,1111000000,서울특별시 종로구 부암동,부암동
1111018500,3,1111000000,서울특별시 종로구 홍지동,홍지동
1111018600,3,1111000000,서울특별시 종로구 신영동,신영동
1111018700,3,1111000000,서울특별시 종로구 무악동,무악동
1114000000,2,1100000000,서울특별시 중구,중구
1114010100,3,1114000000,서울특별시 중구 무교동,무교동
1114010200,3,1114000000,서울특별시 중구 다동,다동
1114010300,3,1114000000,서울특별시 중구 태평로1가,태평로1가
1114010400,3,1114000000,서울특별시 중구 을지로1가,을지로1가
1114010500,3,1114000000,서울특별시 중구 을지로2가,을지로2가
1114010600,3,1114000000,서울특별시 중구 남대문로1가,남대문로1가
1114010700,3,1114000000,서울특별시 중구 삼각동,삼각동
1114010800,3,1114000000,서울특별시 중구 수하동,수하동
1114010900,3,1114000000,서울특별시 중구 장교동,장교동
1114011000,3,1114000000,서울특별시 중구 수표동,수표동
1114011100,3,1114000000,서울특별시 중구 소공동,소공동
1114011200,3,1114000000,서울특별시 중구 남창동,남창동
1114011300,3,1114000000,서울특별시 중구 북창동,북창동
1114011400,3,1114000000,서울특별시 중구 태평로2가,태평로2가
1114011500,3,1114000000,서울특별시 중구 남대문로2가,남대문로2가
1114011600,3,1114000000,서울특별시 중구 남대문로3가,남대문로3가
1114011700,3,1114000000,서울특별시 중구 남대문로4가,남대문로4가
1114011800,3,1114000000,서울특별시 중구 남대문로5가,남대문로5가
1114011900,3,1114000000,서울특별시 중구 봉래동1가,봉래동1가
1114012000,3,1114000000,서울특별시 중구 봉래동2가,봉래동2가
1114012100,3,1114000000,서울특별시 중구 회현동1가,회현동1가
1114012200,3,1114000000,서울특별시 중구 회현동2가,회현동2가
1114012300,3,1114000000,서울특별시 중구 회현동3가,회현동3가
1114012400,3,1114000000,서울특별시 중구 충무로1가,충무로1가
1114012500,3,1114000000,서울특별시 중구 충무로2가,충무로2가
1114012600,3,1114000000,서울특별시 중구 명동1가,명동1가
1114012700,3,1114000000,서울특별시 중구 명동2가,명동2가
1114012800,3,1114000000,서울특별시 중구 남산동1가,남산동1가
1114012900,3,1114000000,서울특별시 중구 남산동2가,남산동2가
1114013000,3,1114000000,서울특별시 중구 남산동3가,남산동3가
1114013100,3,1114000000,서울특별시 중구 저동1가,저동1가
1114013200,3,1114000000,서울특별시 중구 충무로4가,충무로4가
1114013300,3,1114000000,서울특별시 중구 충무로5가,충무로5가
1114013400,3,1114000000,서울특별시 중구 인현동2가,인현동2가
1114013500,3,1114000000,서울특별시 중구 예관동,예관동
1114013600,3,1114000000,서울특별시 중구 묵정동,묵정동
1114013700,3,1114000000,서울특별시 중구 필동1가,필동1가
1114013800,3,1114000000,서울특별시 중구 필동2가,필동2가
1114013900,3,1114000000,서울특별시 중구 필동3가,필동3가
1114014000,3,1114000000,서울특별시 중구 남학동,남학동
1114014100,3,1114000000,서울특별시 중구 주자동,주자동
1114014200,3,1114000000,서울특별시 중구 예장동,예장동
1114014300,3,1114000000,서울특별시 중구 장충동1가,장충동1가
1114014400,3,1114000000,서울특별시 중구 장충동2가,장충동2가
1114014500,3,1114000000,서울특별시 중구 광희동1가,광희동1가
1114014600,3,1114000000,서울특별시 중구 광희동2가,광희동2가
1114014700,3,1114000000,서울특별시 중구 쌍림동,쌍림동
1114014800,3,1114000000,서울특별시 중구 을지로6가,을지로6가
1114014900,3,1114000000,서울특별시 중구 을지로7가,을지로7가
1114015000,3,1114000000,서울특별시 중구 을지로4가,을지로4가
1114015100,3,1114000000,서울특별시 중구 을지로5가,을지로5가
1114015200,3,1114000000,서울특별시 중구 주교동,주교동
1114015300,3,1114000000,서울특별시 중구 방산동,방산동
1114015400,3,1114000000,서울특별시 중구 오장동,오장동
1114015500,3,1114000000,서울특별시 중구 을지로3가,을지로3가
1114015600,3,1114000000,서울특별시 중구 입정동,입정동
1114015700,3,1114000000,서울특별시 중구 산림동,산림동
1114015800,3,1114000000,서울특별시 중구 충무로3가,충무로3가
1114015900,3,1114000000,서울특별시 중구 초동,초동
1114016000,3,1114000000,서울특별시 중구 인현동1가,인현동1가
1114016100,3,1114000000,서울특별시 중구 저동2가,저동2가
1114016200,3,1114000000,서울특별시 중구 신당동,신당동
1114016300,3,1114000000,서울특별시 중구 흥인동,흥인동
1114016400,3,1114000000,서울특별시 중구 무학동,무학동
1114016500,3,1114000000,서울특별시 중구 황학동,황학동
1114016600,3,1114000000,서울특별시 중구 서소문동,서소문동
1114016700,3,1114000000,서울특별시 중구 정동,정동
1114016800,3,1114000000,서울특별시 중구 순화동,순화동
1114016900,3,1114000000,서울특별시 중구 의주로1가,의주로1가
1114017000,3,1114000000,서울특별시 중구 충정로1가,충정로1가
1114017100,3,1114000000,서울특별시 중구 중림동,중림동
1114017200,3,1114000000,서울특별시 중구 의주로2가,의주로2가
1114017300,3,1114000000,서울특별시 중구 만리동1가,만리동1가
1114017400,3,1114000000,서울특별시 중구 만리동2가,만리동2가
1117000000,2,1100000000,서울특별시 용산구,용산구
1117010100,3,1117000000,서울특별시 용산구 후암동,후암동
1117010200,3,1117000000,서울특별시 용산구 용산동2가,용산동2가
1117010300,3,1117000000,서울특별시 용산구 용산동4가,용산동4가
